district,2001/02,2002/03,2003/04,2004/05,2005/06,2006/07,2007/08,2008/09,2009/10,2010/11,2011/12,2012/13,2013/14,2014/15,2015/16,2016/17,2017/18,2018/19,2019/20,2020/21,2021/22,2022/23,2023/24,2024/25
Belfast City,143.0,143.0,120.0,112.0,112.0,112.0,102.0,103.0,101.0,96.0,96.0,96.0,100.0,103.0,105.0,97.0,94.0,95.0,98.0,82.0,95.0,101.0,95.0,92.0
Lisburn & Castlereagh City,69.0,73.0,68.0,59.0,63.0,51.0,43.0,43.0,42.0,40.0,36.0,36.0,37.0,38.0,42.0,41.0,44.0,49.0,46.0,41.0,44.0,43.0,39.0,35.0
Ards & North Down,71.0,70.0,60.0,52.0,53.0,53.0,44.0,40.0,40.0,39.0,38.0,36.0,37.0,39.0,39.0,39.0,38.0,39.0,36.0,32.0,38.0,41.0,38.0,34.0
"Newry, Mourne & Down",63.0,68.0,61.0,57.0,63.0,62.0,57.0,57.0,57.0,54.0,48.0,45.0,49.0,49.0,50.0,45.0,46.0,44.0,47.0,46.0,48.0,55.0,49.0,42.0
"Armagh City, Banbridge & Craigavon",62.0,65.0,63.0,56.0,60.0,57.0,51.0,53.0,52.0,48.0,48.0,45.0,46.0,48.0,48.0,44.0,46.0,44.0,49.0,44.0,49.0,46.0,46.0,40.0
Mid Ulster,51.0,52.0,49.0,47.0,53.0,48.0,46.0,45.0,46.0,44.0,43.0,38.0,36.0,35.0,35.0,32.0,32.0,32.0,36.0,32.0,36.0,38.0,32.0,30.0
Fermanagh & Omagh,52.0,52.0,49.0,45.0,51.0,52.0,50.0,46.0,46.0,46.0,47.0,43.0,41.0,43.0,43.0,40.0,37.0,39.0,40.0,32.0,36.0,38.0,37.0,33.0
Derry City & Strabane,70.0,71.0,70.0,67.0,72.0,69.0,62.0,63.0,62.0,61.0,63.0,65.0,63.0,63.0,63.0,57.0,56.0,56.0,66.0,65.0,74.0,75.0,74.0,64.0
Causeway Coast & Glens,66.0,66.0,64.0,65.0,69.0,71.0,58.0,64.0,59.0,53.0,52.0,49.0,48.0,46.0,44.0,41.0,41.0,43.0,47.0,44.0,46.0,48.0,42.0,38.0
Mid & East Antrim,67.0,66.0,60.0,57.0,55.0,56.0,52.0,53.0,51.0,48.0,46.0,40.0,42.0,42.0,41.0,42.0,44.0,49.0,51.0,44.0,48.0,49.0,45.0,42.0
Antrim & Newtownabbey,78.0,79.0,73.0,63.0,62.0,62.0,53.0,52.0,52.0,53.0,51.0,49.0,47.0,48.0,49.0,42.0,44.0,47.0,48.0,41.0,50.0,53.0,47.0,45.0
Northern Ireland,80.0,81.0,73.0,68.0,70.0,68.0,61.0,61.0,60.0,57.0,56.0,54.0,55.0,56.0,57.0,53.0,52.0,53.0,56.0,50.0,56.0,58.0,54.0,50.0
