district,2001/02,2002/03,2003/0,2004/0,2005/0,2006/0,2007/0,2008/0,2009/10,2010/,2011/1,2012/1,2013/1,2014/1,2015/1,2016/1,2017/1,2018/1,2019/20,2020/,2021/,2022/2,2023/2,2024/25
Belfast City,47130,47097,39404,36648,36377,36664,33282,33920,33362,32101,31920,31930,33751,34913,35689,33182,32272,32735,33963,28130,32869,35240,33279,32264
East,8562,9581,7627,6526,6551,5923,5861,6428,6010,5790,5861,6135,6580,6948,6622,6275,6099,5897,5856,5158,5742,6065,5693,6019
North,13491,13261,10736,9460,9196,9296,9214,9182,9196,8791,8257,8262,8828,9028,9582,8988,8809,9078,9717,8858,9861,10437,9932,9506
South,16723,16416,13791,13370,12172,12647,10756,11452,10826,10604,10975,10972,11917,12078,12193,11458,11194,11600,12127,8195,11169,11947,11247,10553
West,8354,7839,7250,7292,8458,8798,7451,6858,7330,6916,6827,6561,6426,6859,7292,6461,6170,6160,6263,5919,6097,6791,6407,6186
Lisburn & Castlereagh City,8643,9048,8520,7419,7969,6560,5519,5553,5560,5410,4934,4940,5125,5331,5955,5794,6352,7143,6748,6123,6525,6425,5925,5372
Ards & North Down,10625,10454,9099,7889,7995,8091,6767,6189,6288,6108,5916,5672,5889,6167,6250,6262,6125,6378,5861,5222,6244,6797,6253,5574
"Newry, Mourne & Down",9632,10556,9524,9005,10080,10125,9482,9517,9726,9182,8292,7739,8652,8536,8792,8069,8155,7921,8615,8443,8818,10044,8958,7638
"Armagh City, Banbridge & Craigavon",10899,11584,11317,10149,11061,10645,9796,10207,10106,9497,9695,9023,9287,9877,10055,9373,9683,9449,10570,9582,10783,10205,10103,9009
Mid Ulster,6067,6227,5933,5822,6635,6094,5969,5961,6206,5971,5974,5359,5124,5019,5041,4610,4648,4753,5398,4760,5385,5681,4909,4583
Fermanagh & Omagh,5507,5592,5280,4879,5485,5676,5522,5180,5142,5183,5388,4948,4708,4934,4993,4635,4268,4492,4698,3758,4217,4425,4338,3897
Derry City & Strabane,10128,10218,10092,9684,10527,10106,9027,9261,9188,8993,9301,9659,9430,9370,9410,8508,8489,8392,9919,9748,11172,11267,11204,9753
Causeway Coast & Glens,8623,8716,8605,8798,9411,9763,8070,8954,8305,7437,7317,6978,6719,6535,6285,5847,5786,6085,6651,6270,6469,6732,6008,5379
Mid & East Antrim,8550,8463,7741,7402,7200,7336,6870,7064,6894,6447,6255,5448,5646,5696,5560,5724,6032,6737,7109,6171,6609,6779,6347,5897
Antrim & Newtownabbey,10010,10177,9451,8270,8179,8254,7186,7064,7174,7347,7017,6862,6586,6799,6900,6032,6321,6756,6939,5990,7257,7796,6877,6602
Northern Ireland,135814,138132,124966,115965,120919,119314,107490,108870,107951,103676,102009,98558,100917,103177,104930,98036,98131,100841,106471,94197,106348,111391,104201,95968
