year,Antrim and Newtownabbey,Ards and North Down,"Armagh City, Banbridge and Craigavon",Belfast,Causeway Coast and Glens,Derry City and Strabane,Fermanagh and Omagh,Lisburn and Castlereagh,Mid and East Antrim,Mid Ulster,"Newry, Mourne and Down"
2005,112841,129361,105575,104795,121587,98493,114865,132821,102994,118997,121757
2006,143721,160462,141136,135554,154131,129703,149483,169409,128443,152415,157372
2007,202004,236486,198214,188660,213285,166187,189504,245610,183373,198484,214621
2008,167075,207358,155627,150397,178379,146476,160552,195779,157693,157802,180472
2009,136020,164178,123664,125668,134070,116158,125925,156710,124558,119311,147333
2010,127966,153930,114954,115796,125512,106088,117459,151396,116523,111909,132466
2011,113375,133599,101221,99701,112744,94310,108629,130832,101674,101074,118662
2012,100799,119315,88393,87915,98163,85546,93332,120053,93426,89761,103778
2013,97748,115248,86288,86709,94820,81528,91733,117412,89710,90586,95789
2014,104768,122815,93174,95585,99997,85685,96133,124923,94752,98355,106661
2015,112017,130444,101084,103658,107644,92173,102655,133009,99025,108184,112830
2016,119471,134566,108600,110299,117184,99821,110569,140966,106587,115012,119395
2017,123587,138371,112848,113509,123475,107544,115511,144589,110705,118783,124910
2018,128461,143215,115755,119913,129240,114465,121806,150925,115163,124318,132205
2019,133030,146679,120511,123659,136925,118027,127017,156110,117636,126940,137797
2020,138274,152047,124601,129190,144368,121968,130145,162568,120727,127478,142925
2021,149057,167683,134466,138563,159947,132772,140746,173221,130982,138940,157534
2022,163832,185845,150271,149368,178650,144531,154903,190321,143425,154283,174935
2023,169464,187984,155319,152038,183151,150559,158979,195759,149215,159282,179276
2024,180676,202701,164775,162481,191426,158889,170861,209491,156625,167947,189169
2025,193235,216804,174029,174325,205755,173421,185313,224402,168196,181197,204787
