district,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Belfast City,328695.0,328471.0,327176.0,326268.0,325483.0,325985.0,327383.0,330052.0,331763.0,333489.0,333895.0,334322.0,335881.0,337872.0,340194.0,341111.0,341915.0,343690.0,345391.0,344994.0,344992.0,348005.0,350533.0,352390.0
Lisburn & Castlereagh City,124585.0,124757.0,125001.0,125764.0,127043.0,128185.0,129179.0,130584.0,132386.0,133909.0,135280.0,136498.0,137201.0,139186.0,140938.0,142088.0,143737.0,145644.0,147467.0,148102.0,149272.0,149915.0,150822.0,151669.0
Ards & North Down,149559.0,150198.0,150424.0,150912.0,152233.0,153488.0,154406.0,155014.0,156058.0,156518.0,156943.0,157794.0,157956.0,158376.0,159362.0,160299.0,160931.0,161816.0,162807.0,163206.0,163827.0,164223.0,164913.0,165415.0
"Newry, Mourne & Down",153726.0,154984.0,156395.0,158460.0,160453.0,162723.0,165634.0,168019.0,169652.0,171119.0,172276.0,173754.0,174951.0,175557.0,176559.0,178017.0,179199.0,180205.0,181528.0,181683.0,182345.0,182634.0,183429.0,183115.0
"Armagh City, Banbridge & Craigavon",176014.0,177357.0,178954.0,180828.0,183933.0,187196.0,190505.0,193603.0,196203.0,198202.0,200298.0,202560.0,204072.0,206141.0,208339.0,210924.0,212635.0,214887.0,217069.0,218162.0,219127.0,220271.0,221754.0,222511.0
Mid Ulster,119112.0,120214.0,121324.0,122645.0,124885.0,127662.0,131088.0,133595.0,135408.0,137221.0,139011.0,140466.0,141551.0,143217.0,144404.0,145874.0,147002.0,148028.0,149230.0,149747.0,150598.0,151001.0,152006.0,152718.0
Fermanagh & Omagh,105751.0,106663.0,107332.0,107923.0,108586.0,109344.0,110345.0,111494.0,111998.0,112919.0,113501.0,114162.0,114219.0,114785.0,115057.0,115456.0,115859.0,116329.0,116797.0,116594.0,116926.0,116994.0,117195.0,117687.0
Derry City & Strabane,143810.0,144280.0,144629.0,145041.0,145447.0,145855.0,146742.0,147496.0,148053.0,148148.0,148191.0,148666.0,148721.0,149307.0,149589.0,150259.0,150589.0,150712.0,151236.0,150831.0,150834.0,150836.0,150859.0,152383.0
Causeway Coast & Glens,131374.0,132827.0,134152.0,135209.0,136340.0,137438.0,138375.0,139004.0,139616.0,140107.0,140907.0,141147.0,141100.0,141453.0,142052.0,142158.0,142296.0,142404.0,142776.0,142507.0,141664.0,141316.0,141733.0,141954.0
Mid & East Antrim,127452.0,128281.0,129181.0,129925.0,130980.0,132021.0,133270.0,134169.0,134774.0,135157.0,135365.0,135837.0,135983.0,136610.0,137085.0,137718.0,138019.0,138592.0,139066.0,139134.0,139127.0,139200.0,139840.0,139913.0
Antrim & Newtownabbey,128760.0,129502.0,130356.0,131067.0,132350.0,133216.0,134756.0,136122.0,137422.0,138044.0,138651.0,139397.0,140042.0,140682.0,141364.0,142138.0,142996.0,143952.0,145152.0,145563.0,145852.0,146148.0,147298.0,148100.0
Northern Ireland,1688838.0,1697534.0,1704924.0,1714042.0,1727733.0,1743113.0,1761683.0,1779152.0,1793333.0,1804833.0,1814318.0,1824603.0,1831677.0,1843186.0,1854943.0,1866042.0,1875178.0,1886259.0,1898519.0,1900523.0,1904564.0,1910543.0,1920382.0,1927855.0
