SOA_CODE,bus_stops_nearby,transit_score
95GG01S1,8,0.308
95GG01S2,8,0.308
95GG01S3,3,0.115
95GG02S1,20,0.769
95GG02S2,5,0.192
95GG02S3,5,0.192
95GG03S1,8,0.308
95GG03S2,10,0.385
95GG03S3,16,0.615
95GG04S1,22,0.846
95GG04S2,19,0.731
95GG04S3,14,0.538
95GG05S1,12,0.462
95GG05S2,10,0.385
95GG05S3,17,0.654
95GG06S1,10,0.385
95GG06S2,14,0.538
95GG06S3,7,0.269
95GG07S1,11,0.423
95GG07S2,3,0.115
95GG07S3,1,0.038
95GG08S1,0,0.0
95GG08S2,12,0.462
95GG08S3,12,0.462
95GG09S1,4,0.154
95GG09S2,6,0.231
95GG09S3,11,0.423
95GG10S1,5,0.192
95GG10S2,13,0.5
95GG11S1,13,0.5
95GG11S2,8,0.308
95GG11S3,8,0.308
95GG12S1,13,0.5
95GG12S2,7,0.269
95GG12S3,11,0.423
95GG12S4,21,0.808
95GG12S5,14,0.538
95GG13S1,14,0.538
95GG13S2,17,0.654
95GG13S3,13,0.5
95GG14S1,4,0.154
95GG14S2,3,0.115
95GG14S3,0,0.0
95GG15S1,0,0.0
95GG15S2,6,0.231
95GG15S3,11,0.423
95GG16S1,19,0.731
95GG16S2,16,0.615
95GG16S3,14,0.538
95GG17S1,18,0.692
95GG17S2,13,0.5
95GG17S3,9,0.346
95GG18S1,8,0.308
95GG18S2,16,0.615
95GG19S1,10,0.385
95GG19S2,10,0.385
95GG20S1,8,0.308
95GG20S2,17,0.654
95GG21S1,15,0.577
95GG21S2,7,0.269
95GG21S3,8,0.308
95GG22S1,3,0.115
95GG22S2,10,0.385
95GG22S3,9,0.346
95GG23S1,0,0.0
95GG23S2,9,0.346
95GG23S3,5,0.192
95GG24S1,10,0.385
95GG24S2,5,0.192
95GG24S3,7,0.269
95GG25S1,6,0.231
95GG25S2,6,0.231
95GG25S3,10,0.385
95GG26S1,0,0.0
95GG26S2,6,0.231
95GG27S1,0,0.0
95GG27S2,14,0.538
95GG27S3,6,0.231
95GG27S4,6,0.231
95GG28S1,0,0.0
95GG28S2,14,0.538
95GG28S3,13,0.5
95GG29S1,6,0.231
95GG29S2,10,0.385
95GG30S1,16,0.615
95GG30S2,15,0.577
95GG30S3,7,0.269
95GG31S1,6,0.231
95GG31S2,11,0.423
95GG31S3,12,0.462
95GG32S1,0,0.0
95GG32S2,12,0.462
95GG32S3,9,0.346
95GG33S1,0,0.0
95GG33S2,0,0.0
95GG33S3,4,0.154
95GG34S1,11,0.423
95GG34S2,6,0.231
95GG34S3,13,0.5
95GG35S1,17,0.654
95GG35S2,22,0.846
95GG35S3,22,0.846
95GG36S1,9,0.346
95GG36S2,7,0.269
95GG36S3,5,0.192
95GG37S1,7,0.269
95GG37S2,14,0.538
95GG37S3,2,0.077
95GG38S1,4,0.154
95GG38S2,17,0.654
95GG38S3,13,0.5
95GG39S1,26,1.0
95GG39S2,22,0.846
95GG39S3,8,0.308
95GG40S1,6,0.231
95GG40S2,7,0.269
95GG41S1,0,0.0
95GG41S2,4,0.154
95GG41S3,7,0.269
95GG42S1,0,0.0
95GG42S2,3,0.115
95GG42S3,5,0.192
95GG42S4,6,0.231
95GG43S1,5,0.192
95GG43S2,17,0.654
95GG43S3,14,0.538
95GG44S1,16,0.615
95GG44S2,13,0.5
95GG45S1,0,0.0
95GG45S2,2,0.077
95GG45S3,6,0.231
95GG46S1,0,0.0
95GG46S2,7,0.269
95GG46S3,9,0.346
95GG47S1,20,0.769
95GG47S2,9,0.346
95GG47S3,24,0.923
95GG48S1,5,0.192
95GG48S2,6,0.231
95GG48S3,13,0.5
95GG49S1,8,0.308
95GG49S2,8,0.308
95GG49S3,10,0.385
95GG49S4,10,0.385
95GG50S1,9,0.346
95GG50S2,17,0.654
95GG50S3,15,0.577
95GG51S1,11,0.423
95GG51S2,12,0.462
95GG51S3,14,0.538
95II02S3,17,0.654
95II07W1,16,0.615
95II08W1,12,0.462
95II12W1,7,0.269
95II14W1,1,0.038
95II16W1,12,0.462
95II17W1,8,0.308
95II18W1,12,0.462
95II21W1,12,0.462
95II22W1,0,0.0
95II23W1,13,0.5
95SS06S1,0,0.0
95SS06S2,9,0.346
95SS06S3,13,0.5
95SS07S1,3,0.115
95SS07S2,8,0.308
95SS10S1,2,0.077
95SS10S2,1,0.038
95SS16S1,9,0.346
95SS16S2,9,0.346
95SS26S1,5,0.192
95SS26S2,6,0.231
95SS29S1,6,0.231
95SS29S2,10,0.385
